FECHA_CREACION,GENERO_1,GENERO_2,FECHA_MATRIMONIO
17SEP2019:09:44:14,Masculino,Femenino,18JAN2002:00:00:00
17SEP2019:09:50:35,Masculino,Femenino,17MAR1977:00:00:00
17SEP2019:09:55:51,Masculino,Femenino,17DEC1992:00:00:00
17SEP2019:09:58:10,Masculino,Femenino,24APR2008:00:00:00
17SEP2019:10:02:54,Masculino,Femenino,30NOV2012:00:00:00
17SEP2019:10:07:39,Masculino,No declara,03NOV1993:00:00:00
17SEP2019:10:15:54,Masculino,No declara,04MAY1989:00:00:00
17SEP2019:10:21:23,Masculino,Femenino,11APR1994:00:00:00
17SEP2019:10:27:17,Masculino,Femenino,22DEC2005:00:00:00
17SEP2019:11:27:45,Masculino,Femenino,28DEC1981:00:00:00
18SEP2019:07:36:16,Masculino,Femenino,01MAR2019:00:00:00
18SEP2019:08:03:33,Femenino,Femenino,13MAY2016:00:00:00
18SEP2019:07:58:17,Masculino,Femenino,25SEP2009:00:00:00
18SEP2019:08:08:44,Masculino,Femenino,14MAY2004:00:00:00
18SEP2019:08:21:05,Masculino,Femenino,03FEB1961:00:00:00
18SEP2019:08:13:46,Masculino,Femenino,07NOV1996:00:00:00
18SEP2019:08:31:41,Masculino,Femenino,15DEC1997:00:00:00
18SEP2019:08:40:42,Masculino,Femenino,12APR2013:00:00:00
18SEP2019:08:35:49,Masculino,Femenino,26OCT1972:00:00:00
18SEP2019:08:46:58,No declara,No declara,13APR1983:00:00:00
18SEP2019:09:20:52,Masculino,Femenino,20NOV2015:00:00:00
18SEP2019:09:40:53,Masculino,Femenino,28APR1995:00:00:00
18SEP2019:10:00:35,Masculino,Femenino,08APR1999:00:00:00
18SEP2019:10:12:36,Masculino,Femenino,22DEC1999:00:00:00
18SEP2019:10:23:29,Masculino,Femenino,01APR2015:00:00:00
18SEP2019:10:29:53,No declara,No declara,28MAR1988:00:00:00
18SEP2019:10:33:13,Masculino,Femenino,02OCT1975:00:00:00
18SEP2019:10:37:16,Masculino,Femenino,15SEP1995:00:00:00
18SEP2019:10:41:16,Masculino,Femenino,02SEP1977:00:00:00
18SEP2019:10:45:05,No declara,Femenino,18AUG1989:00:00:00
18SEP2019:10:43:26,Masculino,Femenino,26DEC1974:00:00:00
18SEP2019:10:53:48,No declara,No declara,15JUL1988:00:00:00
18SEP2019:11:10:48,Masculino,Femenino,11NOV1975:00:00:00
18SEP2019:11:47:08,Masculino,Femenino,05JUL1996:00:00:00
18SEP2019:12:43:51,No declara,No declara,21DEC1990:00:00:00
19SEP2019:08:01:23,Masculino,Femenino,19APR2012:00:00:00
19SEP2019:08:13:28,Masculino,Femenino,14NOV1996:00:00:00
19SEP2019:08:22:19,Femenino,Masculino,07APR2011:00:00:00
19SEP2019:08:26:29,No declara,Femenino,10SEP1996:00:00:00
19SEP2019:08:30:54,Masculino,Femenino,05OCT2016:00:00:00
19SEP2019:08:35:34,Masculino,Masculino,19OCT2012:00:00:00
19SEP2019:08:40:57,Masculino,Femenino,20MAY2013:00:00:00
19SEP2019:09:13:25,Masculino,Femenino,09JAN2017:00:00:00
19SEP2019:09:28:37,Masculino,No declara,26AUG1994:00:00:00
19SEP2019:09:40:14,Masculino,No declara,14FEB1997:00:00:00
19SEP2019:09:56:17,No declara,No declara,08MAR1993:00:00:00
19SEP2019:10:01:18,Masculino,Femenino,20JAN1977:00:00:00
19SEP2019:10:05:47,Masculino,Femenino,21MAY2010:00:00:00
19SEP2019:10:08:08,Masculino,Femenino,24SEP2004:00:00:00
19SEP2019:10:09:37,Masculino,Femenino,07JAN1977:00:00:00
19SEP2019:10:10:35,Masculino,Femenino,19DEC2013:00:00:00
19SEP2019:10:13:39,Masculino,Femenino,01APR2014:00:00:00
19SEP2019:10:15:42,No declara,No declara,14MAR1994:00:00:00
19SEP2019:10:16:10,No declara,Femenino,10JAN1997:00:00:00
